,province,date
476,Gwangju_Rdate,17
477,Gwangju_Rdate,27
478,Gwangju_Rdate,13
479,Gwangju_Rdate,44
480,Gwangju_Rdate,15
481,Gwangju_Rdate,28
482,Gwangju_Rdate,31
483,Gwangju_Rdate,25
484,Gwangju_Rdate,13
485,Gwangju_Rdate,24
486,Gwangju_Rdate,24
487,Gwangju_Rdate,24
488,Gwangju_Rdate,26
489,Gwangju_Rdate,28
490,Gwangju_Rdate,25
491,Gwangju_Rdate,16
492,Gwangju_Rdate,11
493,Gyeonggi-do_Cdate,7
494,Gyeonggi-do_Cdate,8
495,Gyeonggi-do_Cdate,4
496,Gyeonggi-do_Cdate,2
497,Gyeonggi-do_Cdate,1
498,Gyeonggi-do_Cdate,2
499,Gyeonggi-do_Cdate,5
500,Gyeonggi-do_Cdate,1
501,Gyeonggi-do_Cdate,12
502,Gyeonggi-do_Cdate,11
503,Gyeonggi-do_Cdate,4
504,Gyeonggi-do_Cdate,2
505,Gyeonggi-do_Cdate,3
506,Gyeonggi-do_Cdate,1
507,Gyeonggi-do_Cdate,10
508,Gyeonggi-do_Cdate,3
509,Gyeonggi-do_Cdate,6
510,Gyeonggi-do_Cdate,2
511,Gyeonggi-do_Cdate,4
512,Gyeonggi-do_Cdate,5
513,Gyeonggi-do_Cdate,4
514,Gyeonggi-do_Cdate,8
515,Gyeonggi-do_Cdate,2
516,Gyeonggi-do_Cdate,6
517,Gyeonggi-do_Cdate,2
518,Gyeonggi-do_Cdate,4
519,Gyeonggi-do_Cdate,6
520,Gyeonggi-do_Cdate,9
521,Gyeonggi-do_Cdate,2
522,Gyeonggi-do_Cdate,2
523,Gyeonggi-do_Cdate,4
524,Gyeonggi-do_Cdate,5
525,Gyeonggi-do_Cdate,4
526,Gyeonggi-do_Cdate,10
527,Gyeonggi-do_Cdate,5
528,Gyeonggi-do_Cdate,1
529,Gyeonggi-do_Cdate,6
530,Gyeonggi-do_Cdate,4
531,Gyeonggi-do_Cdate,2
532,Gyeonggi-do_Cdate,2
533,Gyeonggi-do_Cdate,3
534,Gyeonggi-do_Cdate,9
535,Gyeonggi-do_Cdate,3
536,Gyeonggi-do_Cdate,8
537,Gyeonggi-do_Cdate,1
538,Gyeonggi-do_Cdate,16
539,Gyeonggi-do_Cdate,4
540,Gyeonggi-do_Cdate,3
541,Gyeonggi-do_Cdate,1
542,Gyeonggi-do_Cdate,8
543,Gyeonggi-do_Cdate,10
544,Gyeonggi-do_Cdate,1
545,Gyeonggi-do_Cdate,1
546,Gyeonggi-do_Cdate,1
547,Gyeonggi-do_Cdate,4
548,Gyeonggi-do_Cdate,13
549,Gyeonggi-do_Cdate,8
550,Gyeonggi-do_Cdate,1
551,Gyeonggi-do_Cdate,0
552,Gyeonggi-do_Cdate,14
553,Gyeonggi-do_Cdate,3
554,Gyeonggi-do_Cdate,13
555,Gyeonggi-do_Cdate,2
556,Gyeonggi-do_Cdate,2
557,Gyeonggi-do_Cdate,2
558,Gyeonggi-do_Cdate,5
559,Gyeonggi-do_Cdate,3
560,Gyeonggi-do_Cdate,3
561,Gyeonggi-do_Cdate,2
562,Gyeonggi-do_Cdate,6
563,Gyeonggi-do_Cdate,4
564,Gyeonggi-do_Cdate,2
565,Gyeonggi-do_Cdate,4
566,Gyeonggi-do_Cdate,4
567,Gyeonggi-do_Cdate,5
568,Gyeonggi-do_Cdate,3
569,Gyeonggi-do_Cdate,0
570,Gyeonggi-do_Cdate,1
571,Gyeonggi-do_Cdate,3
572,Gyeonggi-do_Cdate,3
573,Gyeonggi-do_Cdate,1
574,Gyeonggi-do_Cdate,2
575,Gyeonggi-do_Cdate,2
576,Gyeonggi-do_Cdate,12
577,Gyeonggi-do_Cdate,2
578,Gyeonggi-do_Cdate,2
579,Gyeonggi-do_Cdate,2
580,Gyeonggi-do_Cdate,9
581,Gyeonggi-do_Cdate,1
582,Gyeonggi-do_Cdate,2
583,Gyeonggi-do_Cdate,6
584,Gyeonggi-do_Cdate,1
585,Gyeonggi-do_Cdate,3
586,Gyeonggi-do_Cdate,1
587,Gyeonggi-do_Cdate,6
588,Gyeonggi-do_Cdate,3
589,Gyeonggi-do_Cdate,2
590,Gyeonggi-do_Cdate,3
591,Gyeonggi-do_Cdate,1
592,Gyeonggi-do_Cdate,3
593,Gyeonggi-do_Cdate,2
594,Gyeonggi-do_Cdate,1
595,Gyeonggi-do_Cdate,3
596,Gyeonggi-do_Cdate,1
597,Gyeonggi-do_Cdate,0
598,Gyeonggi-do_Cdate,1
599,Gyeonggi-do_Cdate,7
600,Gyeonggi-do_Cdate,4
601,Gyeonggi-do_Cdate,6
602,Gyeonggi-do_Cdate,1
603,Gyeonggi-do_Cdate,2
604,Gyeonggi-do_Cdate,2
605,Gyeonggi-do_Cdate,3
606,Gyeonggi-do_Cdate,5
607,Gyeonggi-do_Cdate,11
608,Gyeonggi-do_Cdate,10
609,Gyeonggi-do_Cdate,10
610,Gyeonggi-do_Cdate,5
611,Gyeonggi-do_Cdate,1
612,Gyeonggi-do_Cdate,6
613,Gyeonggi-do_Cdate,3
614,Gyeonggi-do_Cdate,2
615,Gyeonggi-do_Cdate,0
616,Gyeonggi-do_Cdate,4
617,Gyeonggi-do_Cdate,1
